match_id,team_1,team_2,league,date,winner
10005-10005_game_1,ThunderTalk Gaming,Royal Never Give Up,LPL,2023-03-30 09:21:15,ThunderTalk Gaming
10005-10005_game_2,ThunderTalk Gaming,Royal Never Give Up,LPL,2023-03-30 10:13:16,Royal Never Give Up
10005-10005_game_3,Royal Never Give Up,ThunderTalk Gaming,LPL,2023-03-30 11:07:52,Royal Never Give Up
10005-10005_game_4,ThunderTalk Gaming,Royal Never Give Up,LPL,2023-03-30 11:59:00,Royal Never Give Up
10006-10006_game_1,Top Esports,Team WE,LPL,2023-03-31 09:18:27,Top Esports
10006-10006_game_2,Top Esports,Team WE,LPL,2023-03-31 10:21:22,Top Esports
10006-10006_game_3,Top Esports,Team WE,LPL,2023-03-31 11:06:47,Team WE
10006-10006_game_4,Team WE,Top Esports,LPL,2023-03-31 12:05:06,Top Esports
10007-10007_game_1,Royal Never Give Up,Bilibili Gaming,LPL,2023-04-01 09:16:50,Royal Never Give Up
10007-10007_game_2,Bilibili Gaming,Royal Never Give Up,LPL,2023-04-01 10:16:50,Bilibili Gaming
10007-10007_game_3,Royal Never Give Up,Bilibili Gaming,LPL,2023-04-01 11:09:11,Bilibili Gaming
10007-10007_game_4,Bilibili Gaming,Royal Never Give Up,LPL,2023-04-01 12:05:49,Bilibili Gaming
10008-10008_game_1,Oh My God,Top Esports,LPL,2023-04-02 09:15:45,Top Esports
10008-10008_game_2,Oh My God,Top Esports,LPL,2023-04-02 10:14:36,Oh My God
10008-10008_game_3,Top Esports,Oh My God,LPL,2023-04-02 11:02:57,Top Esports
10008-10008_game_4,Oh My God,Top Esports,LPL,2023-04-02 11:57:54,Oh My God
10008-10008_game_5,Top Esports,Oh My God,LPL,2023-04-02 12:50:05,Oh My God
10009-10009_game_1,Weibo Gaming,Bilibili Gaming,LPL,2023-04-03 09:15:56,Bilibili Gaming
10009-10009_game_2,Weibo Gaming,Bilibili Gaming,LPL,2023-04-03 10:03:54,Bilibili Gaming
10009-10009_game_3,Bilibili Gaming,Weibo Gaming,LPL,2023-04-03 10:59:55,Bilibili Gaming
